isolats	Morphology	CO2_production_from_glucose	Growth_at_20C	Growth_at_45C	Growth_at_2_5_percent	Growth_at_4_percent	Growth_at_6_5_percent	Arginine_Hydrolysis_ADH	Fermentation_Glucose	Fermentation_Fructose	Fermentation_Arabinose	Fermentation_Cellobinose	Fermentation_Galactose	Fermentation_Saccharose	Fermentation_Lactose	Fermentation_Maltose	Fermentation_Mannitol	Fermentation_Raffinose	Fermentation_Rhamnose	Fermentation_Ribose	Fermentation_Xylose	Fermentation_Sorbitol	Fermentation	group
O_2prim_2	Bacilli	1	0	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	Hetero	Bacilli_Hetero
O_2prim_3	Bacilli	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	Hetero	Bacilli_Hetero
O_2prim_4	Bacilli	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	Hetero	Bacilli_Hetero
O_2prim_11	Bacilli	1	1	0	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	Hetero	Bacilli_Hetero
A3	Bacilli	1	1	0	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	Hetero	Bacilli_Hetero
A_prim_1	Bacilli	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	Hetero	Bacilli_Hetero
A_prim_2	Bacilli	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	Hetero	Bacilli_Hetero
A_prim_3	Bacilli	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	Hetero	Bacilli_Hetero
A_prim_13	Bacilli	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	Hetero	Bacilli_Hetero
A_prim_14	Bacilli	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	Hetero	Bacilli_Hetero
OS4	Bacilli	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	Hetero	Bacilli_Hetero
TiM2	Bacilli	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	Hetero	Bacilli_Hetero
TiM4	Bacilli	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hetero	Bacilli_Hetero
TiM8	Bacilli	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	Hetero	Bacilli_Hetero
O_2prim_1	Bacilli	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	Homo	Bacilli_Homo
O_2prim_12	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
A1	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	Homo	Bacilli_Homo
A2	Bacilli	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	Homo	Bacilli_Homo
A4	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	Homo	Bacilli_Homo
A5	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	Homo	Bacilli_Homo
A6	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
A7	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	Homo	Bacilli_Homo
A8	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
A9	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	Homo	Bacilli_Homo
A10	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
A11	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
A12	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
A13	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
A14	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
A15	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	Homo	Bacilli_Homo
A16	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
A17	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	Homo	Bacilli_Homo
A18	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	Homo	Bacilli_Homo
A19	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	Homo	Bacilli_Homo
A20	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	Homo	Bacilli_Homo
A_prim_4	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
A_prim_5	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
A_prim_6	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
A_prim_7	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
A_prim_8	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
A_prim_9	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
A_prim_10	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
A_prim_11	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
A_prim_12	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
Bn1	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	Homo	Bacilli_Homo
Bn2	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
Bn3	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	Homo	Bacilli_Homo
Bn4	Bacilli	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	Homo	Bacilli_Homo
Bn5	Bacilli	0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	0	1	Homo	Bacilli_Homo
Bn6	Bacilli	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	0	1	Homo	Bacilli_Homo
Bn7	Bacilli	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	0	1	Homo	Bacilli_Homo
Bn8	Bacilli	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	0	1	Homo	Bacilli_Homo
Bn9	Bacilli	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	0	1	Homo	Bacilli_Homo
Bn10	Bacilli	0	1	0	1	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	Homo	Bacilli_Homo
Bn11	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
Bn12	Bacilli	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	0	1	Homo	Bacilli_Homo
Bn13	Bacilli	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	0	1	Homo	Bacilli_Homo
Gh1	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	Homo	Bacilli_Homo
Gh4	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
LB1	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	Homo	Bacilli_Homo
LB2	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
LB3	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	Homo	Bacilli_Homo
LB4	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
LB5	Bacilli	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	Homo	Bacilli_Homo
TiM1	Bacilli	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
TiM3	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	Homo	Bacilli_Homo
TiM5	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	Homo	Bacilli_Homo
TiM7	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	Homo	Bacilli_Homo
TiM9	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	Homo	Bacilli_Homo
O_prim_7	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
O_prim_10	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
O_prim_14	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
O_prim_19	Bacilli	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	1	Homo	Bacilli_Homo
DA1	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
DA2	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
C1	Bacilli	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	Homo	Bacilli_Homo
C2	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
M7	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
M3	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
BY1	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
BY6	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
BB6	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
SB4	Bacilli	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Homo	Bacilli_Homo
O_prim_1	Cocci	1	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	Hetero	Cocci_Hetero
O_prim_2	Cocci	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	Hetero	Cocci_Hetero
O_prim_3	Cocci	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	Hetero	Cocci_Hetero
O_prim_15	Cocci	1	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	0	1	0	1	Hetero	Cocci_Hetero
