subject_id	age	sex	motor_score	attention_score
sub001	30	Homme	83	80
sub002	20	Femme	86	91
sub003	30	Homme	70	67
sub004	18	Femme	97	94
sub005	29	Femme	77	82
sub006	35	Femme	81	82
sub007	30	Femme	84	75
sub008	25	Femme	84	66
sub009	21	Femme	83	73
sub010	23	Femme	79	92
sub011	41	Femme	75	85
sub012	23	Femme	74	82
sub013	29	Femme	71	60
sub014	23	Homme	79	66
sub015	37	Homme	97	86
sub016	25	Femme	85	79
sub017	17	Homme	73	69
sub018	37	Homme	84	61
sub019	34	Homme	94	65
sub020	28	Homme	97	83
sub021	26	Femme	96	68
sub022	21	Homme	88	83
sub023	37	Homme	84	63
sub024	33	Femme	95	67
sub025	31	Femme	96	86
sub026	27	Femme	79	72
sub027	29	Homme	77	81
sub028	28	Femme	95	71
sub029	22	Femme	89	85
sub030	28	Femme	85	77
sub031	38	Homme	97	79
sub032	35	Homme	77	83
sub033	38	Femme	92	72
sub034	34	Homme	70	69
sub035	41	Homme	92	93
sub036	32	Femme	76	93
sub037	43	Homme	84	74
sub038	29	Homme	80	91
sub039	29	Homme	95	67
sub040	24	Femme	92	69
sub041	18	Homme	86	72
sub042	31	Homme	74	84
sub043	28	Femme	81	88
sub044	18	Homme	76	65
sub045	36	Homme	88	84
sub046	37	Femme	91	62
sub047	37	Femme	86	61
sub048	31	Femme	88	65
sub049	37	Homme	80	94
sub050	46	Homme	81	66
