isolats	pH:0h	pH:6h	pH:24h	pH:48h	DegreD:0h	DegreD:6h	DegreD:24h	DegreD:48h	Diacetyl production	proteolytic activity	exo-polysaccharid production
O_2prim_1	6.3	5.8	4.2	3.1	23	35	70	97	3	45	0
O_2prim_2	6.4	6.3	6	5.7	19	20	29	35	0	20	0
O_2prim_3	6.2	6.1	6.09	5.4	20	23	24	30	0	15	1
O_2prim_4	6.4	6.3	6.2	5.8	20	23	28	33	3	32	0
O_2prim_5	6.2	5.5	4.7	3.5	21	30	60	89	1	35	1
O_2prim_7	6.3	5.7	4.3	3.2	22	40	69	100	0	30	0
O_2prim_8	6.4	5.5	4.2	3.5	20	39	70	90	0	34	1
O_2prim_9	6.4	5.7	4.4	3.8	19	32	65	102	0	25	0
O_2prim_10	6.2	5.4	4.1	3.2	20	35	75	97	0	41	1
O_2prim_11	6.1	6	5.9	5.8	21	26	27	30	0	32	0
O_2prim_12	6.4	5.5	4.5	3.3	20	40	75	90	0	45	1
A1	6.5	6	4.9	4.1	23	38	59	85	2	30	0
A2	6.2	6	4.6	4.3	24	30	49	75	1	25	0
A3	6.3	6	5.9	5.7	23	25	30	38	0	28	0
A4	6.4	6.1	4.6	4.3	22	29	50	80	1	25	0
A5	6.4	5.1	4.7	4.2	21	29	61	91	1	30	0
A6	6.5	5.2	4.3	4.2	20	32	49	70	1	30	0
A7	6.3	5.3	4.8	4.5	23	35	70	89	1	27	0
A8	6.3	5.7	4.6	4.5	24	30	64	90	1	30	0
A9	6.3	5.1	4.5	3.9	25	28	75	95	3	26	0
A10	6.2	5.4	4.6	4	23	29	50	83	2	16	0
A11	6	5.6	4.5	4.1	25	27	59	87	0	18	0
A12	6.3	5.6	4.4	5.9	21	29	78	99	0	23	0
A13	6.2	5.1	4.2	3.8	22	30	80	120	3	27	0
A14	6.4	5.8	4.5	4	19	29	60	90	3	15	0
A15	6.1	5.3	4.3	4.03	23	28	65	89	1	35	0
A16	6.3	5.5	4.8	4.2	25	26	81	116	0	33	0
A17	6.2	5.3	4.6	4.1	20	28	56	70	1	33	0
A18	6.5	5.7	4.7	4.1	21	27	61	95	1	32	0
A19	6.2	5.1	4.6	3.8	24	30	65	90	0	38	0
A20	6.1	5.6	4.1	3.7	22	26	60	100	0	40	0
A_prim_1	6.1	5.9	5.7	5.5	24	28	35	40	0	30	0
A_prim_2	6.2	5.9	5.8	5.7	26	29	32	35	0	32	0
